name,artist,id,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Bed Peace,Jhené Aiko,314RZbyTm14OCPTjSqSjiO,~,0.523,0.566,6,-7.78,1,0.0655,0.292,3.56e-05,0.115,0.275,120.029,256613,4
Pass the Vibes,Donnie Trumpet & The Social Experiment,3w04cXVTLNvkl6foI4K1ze,~,0.802,0.45,7,-9.741,1,0.064,0.734,0.544,0.0919,0.305,140.022,150830,4
Just Wait,Donnie Trumpet & The Social Experiment,2rx3VmG7rvDNUaEbwq7vW7,~,0.598,0.459,7,-11.864,1,0.0865,0.298,0.0139,0.0858,0.108,140.157,227305,4
what kind of love,Childish Gambino,5bNVtvzuIbX5WJRVITUzvU,~,0.325,0.153,2,-25.157,1,0.0356,0.716,0.00272,0.0959,0.301,80.151,242920,4
Bloodflood,alt-J,306zYyz3PFvBgLFGOCy9Xb,~,0.685,0.535,6,-8.908,0,0.0363,0.831,0.404,0.0896,0.218,130.023,249427,4
True Affection,The Blow,0tO8FKgGQzzuf8KGkHGeIw,~,0.823,0.354,1,-8.809,1,0.0474,0.632,0.0196,0.129,0.21,152.062,203013,4
Murder in the City,The Avett Brothers,5U6qAR1LJVflpoVAVSW6Rh,~,0.632,0.254,3,-10.898,1,0.0338,0.922,9.06e-05,0.13,0.232,106.026,192427,4
February Seven,The Avett Brothers,6B6C1OC9RUvrvBECPWtAZo,~,0.512,0.465,4,-7.144,1,0.0253,0.0591,3.08e-05,0.112,0.267,137.892,255013,4
Pusher,alt-J,2H6NbSsccvcT1j4jwAjDmf,~,0.619,0.0488,2,-18.962,1,0.061,0.949,0.000523,0.131,0.101,114.685,209271,4
The Ballad Of Love And Hate - Live At Bojangles' Coliseum/2009,The Avett Brothers,5MJp1pFZxgUEm2OQbC8jC7,~,0.363,0.199,4,-15.386,1,0.0395,0.789,1.31e-06,0.952,0.243,140.164,381960,3
If It's The Beaches,The Avett Brothers,0ZuIstS2vy1OxfHfEnsXv3,~,0.519,0.215,5,-11.627,1,0.0334,0.814,0.0068,0.0979,0.11,88.334,237120,4
Inside,Earl Sweatshirt,6e1Vn7zlOKQ14SdOfAZlpS,~,0.701,0.557,9,-9.889,0,0.312,0.162,0.0,0.153,0.371,142.028,109920,4
